item_identificador,loja_identificador,vendas_totais,item_peso,item_conteudo_gordura,item_visibilidade,item_tipo,item_preco,loja_ano_estabelecimento,loja_tamanho,loja_tipo_localizacao,loja_tipo
FDY10,OUT018,286294.0,17.6,Baixo Teor de Gordura,0.049267759,Lanches,113.02,2019,Médio,Nível 3,Supermercado Tipo 2
FDV60,OUT035,274975.4,20.2,Regular,0.11733905600000001,Confeitaria,195.01,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDH28,OUT018,53130.84,15.85,Regular,0.110479217,Alimentos Congelados,36.75,2019,Médio,Nível 3,Supermercado Tipo 2
FDC60,OUT019,26565.42,12.857645184135977,Regular,0.2004264,Confeitaria,88.85,1995,Pequeno,Nível 1,Mercado
FDR22,OUT017,290821.44,19.35,Regular,0.018667601000000002,Lanches,112.95,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDP13,OUT049,87885.6,8.1,Regular,0.134532392,Enlatados,39.45,2009,Médio,Nível 1,Supermercado Tipo 1
FDB36,OUT013,341022.76,5.465,Regular,0.048486801,Confeitaria,131.26,1997,Grande,Nível 3,Supermercado Tipo 1
NCB18,OUT045,141682.24,19.6,Baixo Teor de Gordura,0.041374909,Cereais,89.25,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDD28,OUT027,164053.12,12.857645184135977,Baixo Teor de Gordura,0.053038775,Alimentos Congelados,59.59,1995,Médio,Nível 3,Supermercado Tipo 3
FDQ40,OUT019,35154.24,12.857645184135977,Regular,0.063079544,Alimentos Congelados,175.77,1995,Pequeno,Nível 1,Mercado
FDF32,OUT013,197742.6,16.35,Baixo Teor de Gordura,0.0680243,Frutas e Vegetais,196.44,1997,Grande,Nível 3,Supermercado Tipo 1
FDM24,OUT045,105795.62,6.135,Regular,0.0,Confeitaria,151.34,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDL46,OUT046,235693.2,20.35,Baixo Teor de Gordura,0.054056927000000005,Lanches,116.85,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDA21,OUT013,906952.7599999999,13.65,Baixo Teor de Gordura,0.035930784,Lanches,184.49,1997,Grande,Nível 3,Supermercado Tipo 1
FDI57,OUT049,197076.8,19.85,Baixo Teor de Gordura,0.05410964,Frutos do Mar,195.08,2009,Médio,Nível 1,Supermercado Tipo 1
FDY27,OUT013,410399.1200000001,6.38,Baixo Teor de Gordura,0.03187163,Laticínios,179.53,1997,Grande,Nível 3,Supermercado Tipo 1
FDH47,OUT049,184692.92,13.5,Regular,0.129016487,Alimentos Ricos em Amido,98.41,2009,Médio,Nível 1,Supermercado Tipo 1
NCE19,OUT049,103731.64,8.97,Baixo Teor de Gordura,0.09315923300000001,Cereais,55.8,2009,Médio,Nível 1,Supermercado Tipo 1
FDP44,OUT035,153799.8,16.5,Regular,0.079698503,Frutas e Vegetais,100.63,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDD05,OUT027,301274.5,12.857645184135977,Baixo Teor de Gordura,0.016531033,Alimentos Congelados,122.41,1995,Médio,Nível 3,Supermercado Tipo 3
FDE50,OUT027,225306.72,12.857645184135977,Regular,0.01612717,Enlatados,189.36,1995,Médio,Nível 3,Supermercado Tipo 3
DRH23,OUT019,11052.28,12.857645184135977,Baixo Teor de Gordura,0.298205272,Bebidas Alcoólicas,55.76,1995,Pequeno,Nível 1,Mercado
FDE08,OUT010,29694.68,18.2,Baixo Teor de Gordura,0.082551042,Frutas e Vegetais,147.37,2008,Desconhecido,Nível 3,Mercado
FDU21,OUT035,78098.34,11.8,Regular,0.07670594800000001,Lanches,34.76,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDL28,OUT019,69110.04,12.857645184135977,Regular,0.0,Alimentos Congelados,230.07,1995,Pequeno,Nível 1,Mercado
FDM38,OUT046,99936.58,5.885,Regular,0.09277130900000001,Enlatados,54.2,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDQ13,OUT013,151003.44,11.1,Baixo Teor de Gordura,0.010632752,Enlatados,82.59,1997,Grande,Nível 3,Supermercado Tipo 1
FDO45,OUT017,123039.84,13.15,Regular,0.038167453000000004,Lanches,89.49,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDL08,OUT017,465527.36,10.8,Baixo Teor de Gordura,0.050000257000000006,Frutas e Vegetais,243.91,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCT53,OUT027,230233.64,12.857645184135977,Baixo Teor de Gordura,0.0,Mercearia,164.55,1995,Médio,Nível 3,Supermercado Tipo 3
FDA35,OUT046,428775.2000000001,14.85,Regular,0.053837561000000006,Confeitaria,120.81,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDH05,OUT049,463396.8,14.35,Regular,0.091054989,Alimentos Congelados,231.9,2009,Médio,Nível 1,Supermercado Tipo 1
FDH45,OUT018,12383.88,15.1,Regular,0.106097275,Frutas e Vegetais,43.28,2019,Médio,Nível 3,Supermercado Tipo 2
FDQ44,OUT018,218116.08,20.5,Baixo Teor de Gordura,0.036287517000000005,Frutas e Vegetais,121.28,2019,Médio,Nível 3,Supermercado Tipo 2
FDG05,OUT027,297279.7,12.857645184135977,Regular,0.087421738,Alimentos Congelados,154.46,1995,Médio,Nível 3,Supermercado Tipo 3
FDE59,OUT017,25167.24,12.15,Baixo Teor de Gordura,0.06264014300000001,Alimentos Ricos em Amido,36.65,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDX45,OUT045,281633.4,16.75,Baixo Teor de Gordura,0.10506844400000001,Lanches,156.66,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDK34,OUT045,214520.76,13.35,Baixo Teor de Gordura,0.038604817,Lanches,236.36,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDG21,OUT019,14980.5,12.857645184135977,Regular,0.256152243,Frutos do Mar,151.0,1995,Pequeno,Nível 1,Mercado
FDJ28,OUT046,307865.92,12.3,Baixo Teor de Gordura,0.021860985000000003,Alimentos Congelados,193.32,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDN24,OUT046,103731.64,14.1,Baixo Teor de Gordura,0.11326743,Confeitaria,54.6,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDJ16,OUT018,92679.36,9.195,Baixo Teor de Gordura,0.115353642,Alimentos Congelados,58.92,2019,Médio,Nível 3,Supermercado Tipo 2
FDY16,OUT013,387295.86,18.35,Regular,0.09215000500000001,Alimentos Congelados,184.83,1997,Grande,Nível 3,Supermercado Tipo 1
FDD22,OUT049,324377.76,10.0,Baixo Teor de Gordura,0.09980462300000001,Lanches,113.75,2009,Médio,Nível 1,Supermercado Tipo 1
FDO03,OUT027,939044.32,12.857645184135977,Regular,0.03670437,Açougue,228.14,1995,Médio,Nível 3,Supermercado Tipo 3
FDR48,OUT017,318785.04,11.65,Baixo Teor de Gordura,0.132248069,Confeitaria,150.5,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDL03,OUT013,274975.4,19.25,Regular,0.027058066000000002,Açougue,194.81,1997,Grande,Nível 3,Supermercado Tipo 1
FDZ16,OUT013,581243.4,16.85,Regular,0.15972281600000002,Alimentos Congelados,194.15,1997,Grande,Nível 3,Supermercado Tipo 1
NCE06,OUT019,32357.88,12.857645184135977,Baixo Teor de Gordura,0.16017883200000002,Cereais,160.29,1995,Pequeno,Nível 1,Mercado
DRE15,OUT027,129032.04,12.857645184135977,Baixo Teor de Gordura,0.01769927,Laticínios,74.2,1995,Médio,Nível 3,Supermercado Tipo 3
FDS47,OUT017,140616.96,16.75,Baixo Teor de Gordura,0.12961476,Pães,86.19,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDF20,OUT027,630645.76,12.857645184135977,Baixo Teor de Gordura,0.033059299,Frutas e Vegetais,196.48,1995,Médio,Nível 3,Supermercado Tipo 3
FDG09,OUT010,56326.68,20.6,Regular,0.08023551200000001,Frutas e Vegetais,188.96,2008,Desconhecido,Nível 3,Mercado
FDA47,OUT017,277305.7,10.5,Regular,0.11733375,Confeitaria,164.12,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDI32,OUT035,357068.54,17.7,Baixo Teor de Gordura,0.17434047500000002,Frutas e Vegetais,116.68,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDT16,OUT027,546688.38,12.857645184135977,Regular,0.048426708000000006,Alimentos Congelados,258.73,1995,Médio,Nível 3,Supermercado Tipo 3
FDV04,OUT049,125703.04,7.825,Regular,0.150248468,Alimentos Congelados,155.23,2009,Médio,Nível 1,Supermercado Tipo 1
FDK26,OUT017,316920.8,5.46,Regular,0.032359413000000004,Enlatados,187.42,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDK16,OUT035,85688.46,9.065,Baixo Teor de Gordura,0.115307979,Alimentos Congelados,97.01,2014,Pequeno,Nível 2,Supermercado Tipo 1
DRH13,OUT013,95875.2,8.575,Baixo Teor de Gordura,0.023866079000000002,Bebidas Não Alcoólicas,107.13,1997,Grande,Nível 3,Supermercado Tipo 1
DRF13,OUT018,116115.52,12.1,Baixo Teor de Gordura,0.029902679,Bebidas Não Alcoólicas,144.34,2019,Médio,Nível 3,Supermercado Tipo 2
FDF14,OUT045,245014.4,7.55,Baixo Teor de Gordura,0.027224917,Enlatados,152.93,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDJ21,OUT046,174972.24,16.7,Regular,0.038528228000000005,Lanches,143.91,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDQ31,OUT049,87885.6,5.785,Regular,0.05393093400000001,Frutas e Vegetais,87.39,2009,Médio,Nível 1,Supermercado Tipo 1
FDV58,OUT035,430639.44,20.85,Baixo Teor de Gordura,0.121227447,Lanches,197.55,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDY07,OUT017,27564.12,11.8,Baixo Teor de Gordura,0.12228965400000001,Frutas e Vegetais,46.34,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCM06,OUT010,30893.12,7.475,Baixo Teor de Gordura,0.12675297500000002,Cereais,154.27,2008,Desconhecido,Nível 3,Mercado
FDG17,OUT017,415392.62,6.865,Regular,0.036042939,Alimentos Congelados,244.45,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDS48,OUT010,30094.16,15.15,Baixo Teor de Gordura,0.046496777,Confeitaria,149.67,2008,Desconhecido,Nível 3,Mercado
FDL08,OUT045,122507.2,10.8,Baixo Teor de Gordura,0.049819857,Frutas e Vegetais,243.21,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDH46,OUT013,225573.04,6.9350000000000005,Regular,0.041247932,Lanches,101.83,1997,Grande,Nível 3,Supermercado Tipo 1
FDW01,OUT019,15246.82,12.857645184135977,Baixo Teor de Gordura,0.112161697,Enlatados,154.47,1995,Pequeno,Nível 1,Mercado
FDE26,OUT013,303405.06,9.3,Baixo Teor de Gordura,0.088931701,Enlatados,143.38,1997,Grande,Nível 3,Supermercado Tipo 1
FDZ08,OUT035,57791.44,12.5,Regular,0.109971578,Frutas e Vegetais,82.76,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDX49,OUT017,396151.0,4.615,Regular,0.102407778,Enlatados,234.33,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDR46,OUT010,43942.8,16.85,Baixo Teor de Gordura,0.233356571,Lanches,146.58,2008,Desconhecido,Nível 3,Mercado
FDR33,OUT019,65914.2,12.857645184135977,Baixo Teor de Gordura,0.04690397,Lanches,110.66,1995,Pequeno,Nível 1,Mercado
FDK36,OUT035,58324.08,7.09,Baixo Teor de Gordura,0.00721395,Confeitaria,47.9,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDC28,OUT046,184493.18,7.905,Baixo Teor de Gordura,0.054986919,Alimentos Congelados,108.63,2007,Pequeno,Nível 1,Supermercado Tipo 1
DRK35,OUT049,79696.26,8.365,Baixo Teor de Gordura,0.071958197,Bebidas Alcoólicas,38.05,2009,Médio,Nível 1,Supermercado Tipo 1
FDY13,OUT018,61253.6,12.1,Baixo Teor de Gordura,0.030250132000000002,Enlatados,75.27,2019,Médio,Nível 3,Supermercado Tipo 2
FDT25,OUT013,318518.72,7.5,Baixo Teor de Gordura,0.050708743,Enlatados,123.41,1997,Grande,Nível 3,Supermercado Tipo 1
FDY07,OUT013,41346.18,11.8,Baixo Teor de Gordura,0.12150063,Frutas e Vegetais,46.84,1997,Grande,Nível 3,Supermercado Tipo 1
NCS29,OUT049,291487.24,9.0,Baixo Teor de Gordura,0.069653585,Mercearia,266.29,2009,Médio,Nível 1,Supermercado Tipo 1
FDZ09,OUT046,245680.2,17.6,Baixo Teor de Gordura,0.104878967,Lanches,164.89,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDA58,OUT013,141415.92,9.395,Baixo Teor de Gordura,0.103664897,Lanches,233.69,1997,Grande,Nível 3,Supermercado Tipo 1
FDZ12,OUT049,300608.7,9.17,Baixo Teor de Gordura,0.10313892200000001,Confeitaria,141.75,2009,Médio,Nível 1,Supermercado Tipo 1
DRE03,OUT049,160724.12,19.6,Baixo Teor de Gordura,0.024264569000000003,Laticínios,46.57,2009,Médio,Nível 1,Supermercado Tipo 1
FDL39,OUT017,595424.94,16.1,Regular,0.06368958300000001,Laticínios,181.93,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDX44,OUT049,115982.36,9.3,Baixo Teor de Gordura,0.043033346,Frutas e Vegetais,89.42,2009,Médio,Nível 1,Supermercado Tipo 1
FDY19,OUT049,223908.54,19.75,Baixo Teor de Gordura,0.041429246,Frutas e Vegetais,117.25,2009,Médio,Nível 1,Supermercado Tipo 1
FDN02,OUT045,207063.8,16.5,Baixo Teor de Gordura,0.073977473,Enlatados,206.86,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDD58,OUT035,79896.0,7.76,Baixo Teor de Gordura,0.059341019,Lanches,99.77,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDW27,OUT019,15513.14,12.857645184135977,Regular,0.26412466900000003,Açougue,155.73,1995,Pequeno,Nível 1,Mercado
FDB21,OUT018,604213.5,7.475,Baixo Teor de Gordura,0.14912561500000002,Frutas e Vegetais,241.69,2019,Médio,Nível 3,Supermercado Tipo 2
FDR52,OUT017,114650.76,12.65,Regular,0.076474728,Alimentos Congelados,191.88,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDS01,OUT019,17776.86,12.857645184135977,Baixo Teor de Gordura,0.031069203000000004,Enlatados,179.67,1995,Pequeno,Nível 1,Mercado
FDO13,OUT013,361795.72,7.865,Baixo Teor de Gordura,0.06100886,Café da Manhã,166.05,1997,Grande,Nível 3,Supermercado Tipo 1
FDP25,OUT045,524117.76,15.2,Baixo Teor de Gordura,0.021250528,Enlatados,216.58,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDB17,OUT013,615731.84,13.15,Baixo Teor de Gordura,0.036641589,Alimentos Congelados,180.8,1997,Grande,Nível 3,Supermercado Tipo 1
FDD26,OUT035,277638.6,8.71,Regular,0.07214181800000001,Enlatados,183.39,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDR01,OUT035,79629.68,5.405,Regular,0.053611144000000006,Enlatados,197.77,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDG32,OUT019,88950.88,12.857645184135977,Baixo Teor de Gordura,0.30814544800000004,Frutas e Vegetais,222.08,1995,Pequeno,Nível 1,Mercado
FDB09,OUT046,74702.76,16.25,Baixo Teor de Gordura,0.057396092,Frutas e Vegetais,125.8,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDE11,OUT010,37018.48,17.7,Regular,0.226122963,Alimentos Ricos em Amido,185.79,2008,Desconhecido,Nível 3,Mercado
FDM51,OUT049,244481.76,11.8,Regular,0.025966531,Açougue,102.27,2009,Médio,Nível 1,Supermercado Tipo 1
FDP04,OUT045,95875.2,15.35,Baixo Teor de Gordura,0.013840784,Alimentos Congelados,65.22,2012,Desconhecido,Nível 2,Supermercado Tipo 1
DRL49,OUT049,85488.72,13.15,Baixo Teor de Gordura,0.056516756,Bebidas Não Alcoólicas,143.48,2009,Médio,Nível 1,Supermercado Tipo 1
FDW60,OUT013,299942.9,5.44,Regular,0.017047751,Confeitaria,174.64,1997,Grande,Nível 3,Supermercado Tipo 1
FDT32,OUT018,169579.26,19.0,Regular,0.06590129900000001,Frutas e Vegetais,188.72,2019,Médio,Nível 3,Supermercado Tipo 2
NCQ29,OUT019,104131.12,12.857645184135977,Baixo Teor de Gordura,0.18249351200000002,Mercearia,258.83,1995,Pequeno,Nível 1,Mercado
FDH08,OUT046,620192.7,7.51,Baixo Teor de Gordura,0.01742908,Frutas e Vegetais,229.6,2007,Pequeno,Nível 1,Supermercado Tipo 1
NCC43,OUT018,100402.64,7.39,Baixo Teor de Gordura,0.093160853,Cereais,251.31,2019,Médio,Nível 3,Supermercado Tipo 2
DRH25,OUT017,93478.32,18.7,Baixo Teor de Gordura,0.014675574,Bebidas Não Alcoólicas,50.83,2017,Desconhecido,Nível 2,Supermercado Tipo 1
DRM47,OUT046,305735.36,9.3,Baixo Teor de Gordura,0.043785694,Bebidas Alcoólicas,191.68,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDR12,OUT027,309197.52,12.857645184135977,Regular,0.031382044000000005,Confeitaria,171.38,1995,Médio,Nível 3,Supermercado Tipo 3
FDS27,OUT019,19641.1,12.857645184135977,Regular,0.021812599999999998,Açougue,194.71,1995,Pequeno,Nível 1,Mercado
NCB18,OUT010,44275.7,19.6,Baixo Teor de Gordura,0.069112952,Cereais,90.15,2008,Desconhecido,Nível 3,Mercado
FDZ31,OUT035,364325.76,15.35,Regular,0.113195815,Frutas e Vegetais,190.85,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDB44,OUT045,84423.44,6.655,Baixo Teor de Gordura,0.016993225,Frutas e Vegetais,211.06,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDL36,OUT045,161789.4,15.1,Baixo Teor de Gordura,0.076229769,Confeitaria,90.48,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCT53,OUT017,230233.64,5.4,Baixo Teor de Gordura,0.048388423,Mercearia,163.05,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDH27,OUT018,186956.64,7.075,Baixo Teor de Gordura,0.058584620000000004,Laticínios,142.71,2019,Médio,Nível 3,Supermercado Tipo 2
FDX35,OUT045,250473.96,5.035,Regular,0.080072603,Pães,228.2,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDB15,OUT049,764604.72,10.895,Baixo Teor de Gordura,0.13702344600000002,Laticínios,263.76,2009,Médio,Nível 1,Supermercado Tipo 1
FDV50,OUT046,98538.4,14.3,Baixo Teor de Gordura,0.12257120900000001,Laticínios,122.37,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDT15,OUT018,292952.0,12.15,Regular,0.042855388,Açougue,181.7,2019,Médio,Nível 3,Supermercado Tipo 2
FDV22,OUT045,281633.4,14.85,Regular,0.009958941,Lanches,157.96,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDY47,OUT046,155797.2,8.6,Regular,0.054484461000000005,Pães,130.13,2007,Pequeno,Nível 1,Supermercado Tipo 1
NCU30,OUT035,212057.3,5.11,Baixo Teor de Gordura,0.034868095,Cereais,163.82,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDG56,OUT035,189886.16,13.3,Regular,0.071439051,Frutas e Vegetais,61.05,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDG35,OUT018,191151.18,21.2,Regular,0.007069662000000001,Alimentos Ricos em Amido,175.77,2019,Médio,Nível 3,Supermercado Tipo 2
FDO25,OUT046,629181.0,6.3,Baixo Teor de Gordura,0.12744903100000002,Enlatados,210.53,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDW32,OUT018,163187.58,18.35,Regular,0.09468096000000001,Frutas e Vegetais,86.29,2019,Médio,Nível 3,Supermercado Tipo 2
DRH59,OUT046,102533.2,10.8,Baixo Teor de Gordura,0.05843345,Bebidas Alcoólicas,74.74,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDL51,OUT049,192948.84,20.7,Regular,0.047565208000000005,Laticínios,213.49,2009,Médio,Nível 1,Supermercado Tipo 1
FDZ15,OUT045,202602.94,13.1,Baixo Teor de Gordura,0.020913071000000002,Laticínios,120.18,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDX35,OUT046,478177.56,5.035,Regular,0.0,Pães,228.2,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDB16,OUT035,113385.74,8.21,Baixo Teor de Gordura,0.044917289000000006,Laticínios,88.52,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDK28,OUT027,334963.98,12.857645184135977,Baixo Teor de Gordura,0.065272284,Alimentos Congelados,256.16,1995,Médio,Nível 3,Supermercado Tipo 3
FDT59,OUT027,322513.52,12.857645184135977,Baixo Teor de Gordura,0.015834380000000002,Pães,228.57,1995,Médio,Nível 3,Supermercado Tipo 3
FDQ58,OUT045,61253.6,7.315,Baixo Teor de Gordura,0.015332872,Lanches,154.03,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDX09,OUT035,776322.8,9.0,Baixo Teor de Gordura,0.065236932,Lanches,176.44,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDN51,OUT045,469788.48,17.85,Regular,0.020989308,Açougue,260.79,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCE07,OUT018,184360.02,8.18,Baixo Teor de Gordura,0.013183517,Cereais,143.12,2019,Médio,Nível 3,Supermercado Tipo 2
NCT42,OUT035,164053.12,5.88,Baixo Teor de Gordura,0.024882614,Cereais,149.44,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDX47,OUT046,251406.08,6.55,Regular,0.034604343,Pães,157.83,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDF17,OUT049,294616.5,5.19,Baixo Teor de Gordura,0.042687151,Alimentos Congelados,195.91,2009,Médio,Nível 1,Supermercado Tipo 1
FDM52,OUT017,413861.28,15.1,Baixo Teor de Gordura,0.026140452,Alimentos Congelados,149.01,2017,Desconhecido,Nível 2,Supermercado Tipo 1
NCJ54,OUT045,604146.9199999999,9.895,Baixo Teor de Gordura,0.060188932,Cereais,233.06,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDH27,OUT017,258863.04,7.075,Baixo Teor de Gordura,0.058676973,Laticínios,142.01,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDR52,OUT027,878989.16,12.857645184135977,Regular,0.07567633900000001,Alimentos Congelados,190.48,1995,Médio,Nível 3,Supermercado Tipo 3
FDZ48,OUT045,100668.96,17.75,Baixo Teor de Gordura,0.07611367100000001,Confeitaria,111.45,2012,Desconhecido,Nível 2,Supermercado Tipo 1
DRG11,OUT010,10785.96,6.385,Baixo Teor de Gordura,0.14032811,Bebidas Alcoólicas,109.16,2008,Desconhecido,Nível 3,Mercado
FDI56,OUT027,346615.48,12.857645184135977,Baixo Teor de Gordura,0.092933158,Frutas e Vegetais,91.01,1995,Médio,Nível 3,Supermercado Tipo 3
FDS55,OUT018,89084.04,7.02,Baixo Teor de Gordura,0.0,Frutas e Vegetais,148.17,2019,Médio,Nível 3,Supermercado Tipo 2
FDT03,OUT010,18376.08,21.25,Baixo Teor de Gordura,0.016735879000000002,Açougue,185.26,2008,Desconhecido,Nível 3,Mercado
NCB19,OUT027,206131.68,12.857645184135977,Baixo Teor de Gordura,0.08985844700000001,Cereais,84.59,1995,Médio,Nível 3,Supermercado Tipo 3
FDL40,OUT013,115849.2,17.7,Baixo Teor de Gordura,0.011603492,Alimentos Congelados,97.74,1997,Grande,Nível 3,Supermercado Tipo 1
FDG56,OUT018,91880.4,13.3,Regular,0.071743629,Frutas e Vegetais,59.75,2019,Médio,Nível 3,Supermercado Tipo 2
NCH54,OUT010,15979.2,13.5,Baixo Teor de Gordura,0.12163321,Cereais,161.69,2008,Desconhecido,Nível 3,Mercado
NCQ50,OUT013,448815.78,18.75,Baixo Teor de Gordura,0.034278798,Cereais,214.12,1997,Grande,Nível 3,Supermercado Tipo 1
FDD44,OUT018,309197.52,8.05,Regular,0.078719835,Frutas e Vegetais,258.56,2019,Médio,Nível 3,Supermercado Tipo 2
FDT45,OUT035,60055.16,15.85,Baixo Teor de Gordura,0.057302606000000006,Lanches,53.4,2014,Pequeno,Nível 2,Supermercado Tipo 1
DRD13,OUT017,95875.2,15.0,Baixo Teor de Gordura,0.049357077000000006,Bebidas Não Alcoólicas,62.62,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDD47,OUT035,255667.2,7.6,Regular,0.142383847,Alimentos Ricos em Amido,172.34,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDL57,OUT013,542493.84,15.1,Regular,0.067020992,Lanches,260.33,1997,Grande,Nível 3,Supermercado Tipo 1
FDR25,OUT018,635972.16,17.0,Regular,0.140090284,Enlatados,265.19,2019,Médio,Nível 3,Supermercado Tipo 2
FDQ25,OUT049,224174.86,8.63,Regular,0.028320655,Enlatados,172.54,2009,Médio,Nível 1,Supermercado Tipo 1
FDT55,OUT045,110456.22,13.6,Regular,0.043743689,Frutas e Vegetais,157.79,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDD03,OUT046,69909.0,13.3,Baixo Teor de Gordura,0.079806266,Laticínios,232.53,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDI34,OUT017,230366.8,10.65,Regular,0.085617517,Lanches,229.37,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDV35,OUT049,232697.1,19.5,Baixo Teor de Gordura,0.128405328,Pães,156.43,2009,Médio,Nível 1,Supermercado Tipo 1
NCF54,OUT017,293151.74,18.0,Baixo Teor de Gordura,0.047645037,Cereais,172.64,2017,Desconhecido,Nível 2,Supermercado Tipo 1
FDO44,OUT035,66313.68,12.6,Baixo Teor de Gordura,0.08743667200000001,Frutas e Vegetais,109.92,2014,Pequeno,Nível 2,Supermercado Tipo 1
NCK31,OUT018,82026.56,10.895,Baixo Teor de Gordura,0.027157955,Outros,50.27,2019,Médio,Nível 3,Supermercado Tipo 2
FDK56,OUT045,336761.64,9.695,Baixo Teor de Gordura,0.130261652,Frutas e Vegetais,185.29,2012,Desconhecido,Nível 2,Supermercado Tipo 1
FDU08,OUT027,386896.38,12.857645184135977,Baixo Teor de Gordura,0.027183141,Frutas e Vegetais,99.7,1995,Médio,Nível 3,Supermercado Tipo 3
FDA26,OUT035,481906.04,7.855,Regular,0.073906461,Laticínios,218.45,2014,Pequeno,Nível 2,Supermercado Tipo 1
NCF31,OUT013,182162.88,9.13,Baixo Teor de Gordura,0.051804278,Cereais,150.2,1997,Grande,Nível 3,Supermercado Tipo 1
FDZ20,OUT027,1144510.2000000002,12.857645184135977,Baixo Teor de Gordura,0.0,Frutas e Vegetais,253.04,1995,Médio,Nível 3,Supermercado Tipo 3
FDB16,OUT045,113385.74,8.21,Baixo Teor de Gordura,0.045016894,Laticínios,87.62,2012,Desconhecido,Nível 2,Supermercado Tipo 1
NCN06,OUT035,196544.16,8.39,Baixo Teor de Gordura,0.12047448100000001,Cereais,165.59,2014,Pequeno,Nível 2,Supermercado Tipo 1
FDD57,OUT035,133293.16,18.1,Baixo Teor de Gordura,0.022395357,Frutas e Vegetais,96.51,2014,Pequeno,Nível 2,Supermercado Tipo 1
NCN41,OUT046,258663.3,17.0,Baixo Teor de Gordura,0.052209303000000006,Mercearia,122.37,2007,Pequeno,Nível 1,Supermercado Tipo 1
FDW10,OUT010,52931.1,21.2,Baixo Teor de Gordura,0.11829760500000001,Lanches,175.04,2008,Desconhecido,Nível 3,Mercado
FDJ12,OUT013,228502.56,8.895,Regular,0.039008625000000005,Confeitaria,209.03,1997,Grande,Nível 3,Supermercado Tipo 1
FDT08,OUT035,224707.5,13.65,Baixo Teor de Gordura,0.049209192000000006,Frutas e Vegetais,150.0,2014,Pequeno,Nível 2,Supermercado Tipo 1
